file,R2,r,trait,mode,cv,sp
dtp_1d2_cv1_sp3.ghatREL1,0.556768187745411,0.746169007494557,dtp,1d2,cv1,sp3.ghatREL1
dtp_1d2_cv1_sp4.ghatREL1,0.77259941052063,0.878976342412371,dtp,1d2,cv1,sp4.ghatREL1
dtp_1d2_cv1_sp5.ghatREL1,0.659427382253599,0.812051342129055,dtp,1d2,cv1,sp5.ghatREL1
dtp_1d2_cv1_sp6.ghatREL1,0.654841887375658,0.809223014610718,dtp,1d2,cv1,sp6.ghatREL1
dtp_1d2_cv1_sp7.ghatREL1,0.67695885450617,0.822775093513513,dtp,1d2,cv1,sp7.ghatREL1
dtp_1d2_cv1_sp8.ghatREL1,0.344876781573285,0.587262106365876,dtp,1d2,cv1,sp8.ghatREL1
dtp_1d2_cv1_sp9.ghatREL1,0.601238436707568,0.77539566461747,dtp,1d2,cv1,sp9.ghatREL1
dtp_1d2_cv2_sp10.ghatREL1,0.156360556480848,0.395424526908547,dtp,1d2,cv2,sp10.ghatREL1
dtp_1d2_cv2_sp1.ghatREL1,0.483966227649438,0.695676812643226,dtp,1d2,cv2,sp1.ghatREL1
dtp_1d2_cv2_sp2.ghatREL1,0.371111628194417,0.609189320486183,dtp,1d2,cv2,sp2.ghatREL1
dtp_1d2_cv2_sp3.ghatREL1,0.701760442861464,0.83771143173617,dtp,1d2,cv2,sp3.ghatREL1
dtp_1d2_cv2_sp4.ghatREL1,0.507203991165277,0.71218255466227,dtp,1d2,cv2,sp4.ghatREL1
dtp_1d2_cv2_sp5.ghatREL1,0.696370187671942,0.834487979345384,dtp,1d2,cv2,sp5.ghatREL1
dtp_1d2_cv2_sp6.ghatREL1,0.380743430913326,0.61704410775351,dtp,1d2,cv2,sp6.ghatREL1
dtp_1d2_cv2_sp7.ghatREL1,0.163734536220875,0.404641243845551,dtp,1d2,cv2,sp7.ghatREL1
dtp_1d2_cv2_sp8.ghatREL1,0.323073724275251,0.568395746179764,dtp,1d2,cv2,sp8.ghatREL1
dtp_1d2_cv2_sp9.ghatREL1,0.571967310157491,0.756285204243407,dtp,1d2,cv2,sp9.ghatREL1
dtp_1d2_cv3_sp10.ghatREL1,0.320274551298837,0.565928044276688,dtp,1d2,cv3,sp10.ghatREL1
dtp_1d2_cv3_sp1.ghatREL1,0.618759725338896,0.786612817934526,dtp,1d2,cv3,sp1.ghatREL1
dtp_1d2_cv3_sp2.ghatREL1,0.512648852631506,0.715995008803487,dtp,1d2,cv3,sp2.ghatREL1
dtp_1d2_cv3_sp3.ghatREL1,0.528203263072461,0.726775937323507,dtp,1d2,cv3,sp3.ghatREL1
dtp_1d2_cv3_sp4.ghatREL1,0.593398066762956,0.77032335208207,dtp,1d2,cv3,sp4.ghatREL1
dtp_1d2_cv3_sp5.ghatREL1,0.128214023291162,-0.358069858115929,dtp,1d2,cv3,sp5.ghatREL1
dtp_1d2_cv3_sp6.ghatREL1,0.403015473254485,0.634834996872797,dtp,1d2,cv3,sp6.ghatREL1
dtp_1d2_cv3_sp7.ghatREL1,0.600945605107733,0.775206814410021,dtp,1d2,cv3,sp7.ghatREL1
dtp_1d2_cv3_sp8.ghatREL1,0.320676985670868,0.566283485253515,dtp,1d2,cv3,sp8.ghatREL1
dtp_1d2_cv3_sp9.ghatREL1,0.482522380897444,0.694638309408173,dtp,1d2,cv3,sp9.ghatREL1
dtp_1d2_cv4_sp10.ghatREL1,0.418258087901125,0.646728759141825,dtp,1d2,cv4,sp10.ghatREL1
dtp_1d2_cv4_sp1.ghatREL1,0.6798415000668,0.824525014821746,dtp,1d2,cv4,sp1.ghatREL1
dtp_1d2_cv4_sp2.ghatREL1,0.512913387810923,0.716179717536683,dtp,1d2,cv4,sp2.ghatREL1
dtp_1d2_cv4_sp3.ghatREL1,0.753190319373101,0.867865380904839,dtp,1d2,cv4,sp3.ghatREL1
dtp_1d2_cv4_sp4.ghatREL1,0.325668844973812,0.570674026896101,dtp,1d2,cv4,sp4.ghatREL1
dtp_1d2_cv4_sp5.ghatREL1,0.54645128872926,0.73922343626894,dtp,1d2,cv4,sp5.ghatREL1
dtp_1d2_cv4_sp6.ghatREL1,0.463302920898507,0.680663588638695,dtp,1d2,cv4,sp6.ghatREL1
