file,R2,r,trait,mode,cv,sp
asi_4d2_cv5_sp9.ghatREL1,0.521584725868892,0.722208228884781,asi,4d2,cv5,sp9.ghatREL1
dtp_3a2_cv1_sp10.ghatREL1,0.280805743172395,0.529911071003801,dtp,3a2,cv1,sp10.ghatREL1
dtp_3a2_cv1_sp1.ghatREL1,0.281112632456559,0.530200558710154,dtp,3a2,cv1,sp1.ghatREL1
dtp_3a2_cv1_sp2.ghatREL1,0.0145262423007564,0.120524861753733,dtp,3a2,cv1,sp2.ghatREL1
dtp_3a2_cv1_sp3.ghatREL1,0.279714239356196,0.528880174856456,dtp,3a2,cv1,sp3.ghatREL1
dtp_3a2_cv1_sp4.ghatREL1,0.15487535671663,0.393542064735944,dtp,3a2,cv1,sp4.ghatREL1
dtp_3a2_cv1_sp5.ghatREL1,0.123983405405255,0.352112773703617,dtp,3a2,cv1,sp5.ghatREL1
dtp_3a2_cv1_sp6.ghatREL1,0.161503185916998,0.401874589787658,dtp,3a2,cv1,sp6.ghatREL1
dtp_3a2_cv1_sp7.ghatREL1,0.246312224174874,0.496298523244704,dtp,3a2,cv1,sp7.ghatREL1
dtp_3a2_cv1_sp8.ghatREL1,0.0233750451641942,-0.152888996216844,dtp,3a2,cv1,sp8.ghatREL1
dtp_3a2_cv1_sp9.ghatREL1,0.0854234523947866,0.292272907390997,dtp,3a2,cv1,sp9.ghatREL1
dtp_3a2_cv2_sp10.ghatREL1,9.42089269507323e-06,0.00306934727508525,dtp,3a2,cv2,sp10.ghatREL1
dtp_3a2_cv2_sp1.ghatREL1,0.000156184088445861,0.0124973632597385,dtp,3a2,cv2,sp1.ghatREL1
dtp_3a2_cv2_sp2.ghatREL1,0.0786940329729891,0.280524567503435,dtp,3a2,cv2,sp2.ghatREL1
dtp_3a2_cv2_sp3.ghatREL1,0.0516929745261476,0.227360890493831,dtp,3a2,cv2,sp3.ghatREL1
dtp_3a2_cv2_sp4.ghatREL1,0.158013774000601,0.397509464039035,dtp,3a2,cv2,sp4.ghatREL1
dtp_3a2_cv2_sp5.ghatREL1,0.367090228914601,0.605879714889516,dtp,3a2,cv2,sp5.ghatREL1
dtp_3a2_cv2_sp6.ghatREL1,0.172510960772468,0.415344388155742,dtp,3a2,cv2,sp6.ghatREL1
dtp_3a2_cv2_sp7.ghatREL1,0.0167744405007321,-0.129516178528909,dtp,3a2,cv2,sp7.ghatREL1
dtp_3a2_cv2_sp8.ghatREL1,0.221132595592867,0.470247377018593,dtp,3a2,cv2,sp8.ghatREL1
dtp_3a2_cv2_sp9.ghatREL1,0.0179621691243945,0.134023017144051,dtp,3a2,cv2,sp9.ghatREL1
dtp_3a2_cv3_sp10.ghatREL1,0.514759822843283,0.717467645851214,dtp,3a2,cv3,sp10.ghatREL1
dtp_3a2_cv3_sp1.ghatREL1,0.329969425264122,0.574429652145606,dtp,3a2,cv3,sp1.ghatREL1
dtp_3a2_cv3_sp2.ghatREL1,0.101438781535209,0.318494554953784,dtp,3a2,cv3,sp2.ghatREL1
dtp_3a2_cv3_sp3.ghatREL1,0.200411501330833,0.447673431566843,dtp,3a2,cv3,sp3.ghatREL1
dtp_3a2_cv3_sp4.ghatREL1,0.0959336251364502,0.309731537200283,dtp,3a2,cv3,sp4.ghatREL1
dtp_3a2_cv3_sp5.ghatREL1,0.00690248703654565,-0.0830812074812689,dtp,3a2,cv3,sp5.ghatREL1
dtp_3a2_cv3_sp6.ghatREL1,0.110520399306269,0.33244608481116,dtp,3a2,cv3,sp6.ghatREL1
dtp_3a2_cv3_sp7.ghatREL1,0.0287970111379405,0.169696821236995,dtp,3a2,cv3,sp7.ghatREL1
