Hyb,P1,P2,valHyb,valP1,valP2,BPHmax,pBPHmax,BPHmin,pBPHmin,MPH,pMPH,trait,pBPH
hyb61,PHG47,PHG84,-0.525948,-1.683702,-3.518615,1.158,-0.6878,2.993,-0.3291,2.075,-1.1506,ASI,32.91
hyb62,PHG47,PHJ40,-0.281668,-1.683702,-1.554066,1.272,-0.8185,1.402,-0.7555,1.337,-0.866,ASI,75.55
hyb63,PHG47,PHZ51,-0.993204,-1.683702,-2.438996,0.69,-0.4098,1.446,-0.2829,1.068,-0.7015,ASI,28.29
hyb64,PHG84,PHJ40,-0.532094,-3.518615,-1.554066,1.022,-0.6576,2.987,-0.2905,2.004,-1.1777,ASI,29.05
hyb65,PHG84,PHZ51,-1.303649,-3.518615,-2.438996,1.135,-0.4654,2.215,-0.3226,1.675,-0.7436,ASI,32.26
hyb66,PHJ40,PHZ51,-0.442031,-1.554066,-2.438996,1.112,-0.7155,1.997,-0.4559,1.554,-1.0002,ASI,45.59
hyb1,B73,LH1,64.68529,67.83752,70.42608,-5.741,-0.0815,-3.152,-0.0846,-4.447,-0.0456,DTP,8.46
hyb2,B73,LH123HT,65.39116,67.83752,71.33032,-5.939,-0.0833,-2.446,-0.0875,-4.193,-0.0352,DTP,8.75
hyb3,B73,LH82,61.91219,67.83752,63.10158,-5.925,-0.0873,-1.189,-0.0939,-3.557,-0.0182,DTP,9.39
hyb4,B73,MO17,64.3655,67.83752,67.53029,-3.472,-0.0512,-3.165,-0.0514,-3.318,-0.0468,DTP,5.14
hyb5,B73,PH207,61.41941,67.83752,62.16413,-6.418,-0.0946,-0.745,-0.1032,-3.581,-0.0115,DTP,10.32
hyb6,B73,PHG35,62.71273,67.83752,63.28159,-5.125,-0.0755,-0.569,-0.081,-2.847,-0.0087,DTP,8.1
hyb7,B73,PHG39,65.3896,67.83752,71.30806,-5.918,-0.083,-2.448,-0.0872,-4.183,-0.0352,DTP,8.72
hyb8,B73,PHG47,62.19249,67.83752,65.39673,-5.645,-0.0832,-3.204,-0.0863,-4.425,-0.0481,DTP,8.63
hyb9,B73,PHG84,66.48963,67.83752,72.20846,-5.719,-0.0792,-1.348,-0.0843,-3.533,-0.0193,DTP,8.43
hyb10,B73,PHJ40,60.06495,67.83752,58.53029,-7.773,-0.1146,1.535,-0.1328,-3.119,0.0243,DTP,13.28
hyb11,B73,PHZ51,63.81526,67.83752,68.69282,-4.878,-0.071,-4.022,-0.0719,-4.45,-0.0589,DTP,7.19
hyb12,LH1,LH123HT,65.97556,70.42608,71.33032,-5.355,-0.0751,-4.451,-0.076,-4.903,-0.0628,DTP,7.6
hyb13,LH1,LH82,63.38999,70.42608,63.10158,-7.036,-0.0999,0.288,-0.1115,-3.374,0.0043,DTP,11.15
hyb14,LH1,MO17,64.94635,70.42608,67.53029,-5.48,-0.0778,-2.584,-0.0811,-4.032,-0.0375,DTP,8.11
hyb15,LH1,PH207,62.39702,70.42608,62.16413,-8.029,-0.114,0.233,-0.1292,-3.898,0.0035,DTP,12.92
hyb16,LH1,PHG35,64.11474,70.42608,63.28159,-6.311,-0.0896,0.833,-0.0997,-2.739,0.0125,DTP,9.97
hyb17,LH1,PHG39,66.79954,70.42608,71.30806,-4.509,-0.0632,-3.627,-0.064,-4.068,-0.0512,DTP,6.4
hyb18,LH1,PHG47,63.45722,70.42608,65.39673,-6.969,-0.099,-1.94,-0.1066,-4.454,-0.0286,DTP,10.66
hyb19,LH1,PHG84,66.85794,70.42608,72.20846,-5.351,-0.0741,-3.568,-0.076,-4.459,-0.05,DTP,7.6
hyb20,LH1,PHJ40,61.83906,70.42608,58.53029,-8.587,-0.1219,3.309,-0.1467,-2.639,0.0513,DTP,14.67
hyb21,LH1,PHZ51,65.86149,70.42608,68.69282,-4.565,-0.0648,-2.831,-0.0665,-3.698,-0.0407,DTP,6.65
hyb22,LH123HT,LH82,62.96493,71.33032,63.10158,-8.365,-0.1173,-0.137,-0.1326,-4.251,-0.002,DTP,13.26
hyb23,LH123HT,MO17,66.0369,71.33032,67.53029,-5.293,-0.0742,-1.493,-0.0784,-3.393,-0.0215,DTP,7.84
hyb24,LH123HT,PH207,61.89634,71.33032,62.16413,-9.434,-0.1323,-0.268,-0.1518,-4.851,-0.004,DTP,15.18
hyb25,LH123HT,PHG35,64.84886,71.33032,63.28159,-6.481,-0.0909,1.567,-0.1024,-2.457,0.0233,DTP,10.24
hyb26,LH123HT,PHG39,66.26024,71.33032,71.30806,-5.07,-0.0711,-5.048,-0.0711,-5.059,-0.0708,DTP,7.11
hyb27,LH123HT,PHG47,65.48337,71.33032,65.39673,-5.847,-0.082,0.087,-0.0894,-2.88,0.0013,DTP,8.94
hyb28,LH123HT,PHG84,66.90221,71.33032,72.20846,-5.306,-0.0735,-4.428,-0.0744,-4.867,-0.0617,DTP,7.44
hyb29,LH123HT,PHJ40,61.0038,71.33032,58.53029,-10.327,-0.1448,2.474,-0.1764,-3.927,0.0381,DTP,17.64
hyb30,LH123HT,PHZ51,64.18556,71.33032,68.69282,-7.145,-0.1002,-4.507,-0.104,-5.826,-0.0644,DTP,10.4
hyb31,LH82,MO17,61.88684,63.10158,67.53029,-5.643,-0.0836,-1.215,-0.0894,-3.429,-0.0186,DTP,8.94
hyb32,LH82,PH207,59.55814,63.10158,62.16413,-3.543,-0.0561,-2.606,-0.057,-3.075,-0.0416,DTP,5.7
hyb33,LH82,PHG35,60.57651,63.10158,63.28159,-2.705,-0.0427,-2.525,-0.0429,-2.615,-0.04,DTP,4.29
hyb34,LH82,PHG39,63.14963,63.10158,71.30806,-8.158,-0.1144,0.048,-0.1293,-4.055,7e-04,DTP,12.93
hyb35,LH82,PHG47,60.37851,63.10158,65.39673,-5.018,-0.0767,-2.723,-0.0795,-3.871,-0.0424,DTP,7.95
hyb36,LH82,PHG84,64.1496,63.10158,72.20846,-8.059,-0.1116,1.048,-0.1277,-3.505,0.0155,DTP,12.77
hyb37,LH82,PHJ40,57.96944,63.10158,58.53029,-5.132,-0.0813,-0.561,-0.0877,-2.846,-0.0092,DTP,8.77
hyb38,LH82,PHZ51,61.66194,63.10158,68.69282,-7.031,-0.1024,-1.44,-0.1114,-4.235,-0.0219,DTP,11.14
hyb39,MO17,PH207,62.44022,67.53029,62.16413,-5.09,-0.0754,0.276,-0.0819,-2.407,0.0043,DTP,8.19
hyb40,MO17,PHG35,63.86287,67.53029,63.28159,-3.667,-0.0543,0.581,-0.0579,-1.543,0.0089,DTP,5.79
hyb41,MO17,PHG39,65.20563,67.53029,71.30806,-6.102,-0.0856,-2.325,-0.0904,-4.214,-0.0335,DTP,9.04
hyb42,MO17,PHG47,63.30073,67.53029,65.39673,-4.23,-0.0626,-2.096,-0.0647,-3.163,-0.0315,DTP,6.47
hyb43,MO17,PHG84,66.33836,67.53029,72.20846,-5.87,-0.0813,-1.192,-0.0869,-3.531,-0.0171,DTP,8.69
hyb44,MO17,PHJ40,60.56807,67.53029,58.53029,-6.962,-0.1031,2.038,-0.1189,-2.462,0.0323,DTP,11.89
hyb45,MO17,PHZ51,64.03762,67.53029,68.69282,-4.655,-0.0678,-3.493,-0.0689,-4.074,-0.0513,DTP,6.89
hyb46,PH207,PHG35,61.37798,62.16413,63.28159,-1.904,-0.0301,-0.786,-0.0306,-1.345,-0.0125,DTP,3.06
hyb47,PH207,PHG39,62.96134,62.16413,71.30806,-8.347,-0.1171,0.797,-0.1343,-3.775,0.0119,DTP,13.43
hyb48,PH207,PHG47,60.2192,62.16413,65.39673,-5.178,-0.0792,-1.945,-0.0833,-3.561,-0.0305,DTP,8.33
hyb49,PH207,PHG84,64.1758,62.16413,72.20846,-8.033,-0.1112,2.012,-0.1292,-3.01,0.0299,DTP,12.92
hyb50,PH207,PHJ40,57.644,62.16413,58.53029,-4.52,-0.0727,-0.886,-0.0772,-2.703,-0.0147,DTP,7.72
hyb51,PH207,PHZ51,61.2826,62.16413,68.69282,-7.41,-0.1079,-0.882,-0.1192,-4.146,-0.0135,DTP,11.92
hyb52,PHG35,PHG39,64.24755,63.28159,71.30806,-7.061,-0.099,0.966,-0.1116,-3.047,0.0144,DTP,11.16
hyb53,PHG35,PHG47,62.11373,63.28159,65.39673,-3.283,-0.0502,-1.168,-0.0519,-2.225,-0.0182,DTP,5.19
hyb54,PHG35,PHG84,65.89153,63.28159,72.20846,-6.317,-0.0875,2.61,-0.0998,-1.853,0.0385,DTP,9.98
hyb55,PHG35,PHJ40,59.31936,63.28159,58.53029,-3.962,-0.0626,0.789,-0.0677,-1.587,0.013,DTP,6.77
hyb56,PHG35,PHZ51,62.53684,63.28159,68.69282,-6.156,-0.0896,-0.745,-0.0973,-3.45,-0.0113,DTP,9.73
hyb57,PHG39,PHG47,63.12654,71.30806,65.39673,-8.182,-0.1147,-2.27,-0.1251,-5.226,-0.0332,DTP,12.51
hyb58,PHG39,PHG84,66.76236,71.30806,72.20846,-5.446,-0.0754,-4.546,-0.0764,-4.996,-0.0634,DTP,7.64
hyb59,PHG39,PHJ40,61.13753,71.30806,58.53029,-10.171,-0.1426,2.607,-0.1738,-3.782,0.0402,DTP,17.38
hyb60,PHG39,PHZ51,64.74189,71.30806,68.69282,-6.566,-0.0921,-3.951,-0.0956,-5.259,-0.0564,DTP,9.56
hyb61,PHG47,PHG84,64.92917,65.39673,72.20846,-7.279,-0.1008,-0.468,-0.1113,-3.873,-0.0068,DTP,11.13
hyb62,PHG47,PHJ40,58.61018,65.39673,58.53029,-6.787,-0.1038,0.08,-0.116,-3.353,0.0013,DTP,11.6
hyb63,PHG47,PHZ51,62.55634,65.39673,68.69282,-6.136,-0.0893,-2.84,-0.0938,-4.488,-0.0424,DTP,9.38
hyb64,PHG84,PHJ40,62.3779,72.20846,58.53029,-9.831,-0.1361,3.848,-0.168,-2.991,0.0589,DTP,16.8
hyb65,PHG84,PHZ51,66.95249,72.20846,68.69282,-5.256,-0.0728,-1.74,-0.0765,-3.498,-0.0247,DTP,7.65
hyb66,PHJ40,PHZ51,60.42869,58.53029,68.69282,-8.264,-0.1203,1.898,-0.1412,-3.183,0.0298,DTP,14.12
hyb1,B73,LH1,66.52889,69.81974,75.06237,-8.533,-0.1137,-3.291,-0.1222,-5.912,-0.0454,DTS,12.22
hyb2,B73,LH123HT,66.24217,69.81974,72.20521,-5.963,-0.0826,-3.578,-0.0854,-4.77,-0.0504,DTS,8.54
hyb3,B73,LH82,63.0877,69.81974,63.7072,-6.732,-0.0964,-0.62,-0.1057,-3.676,-0.0093,DTS,10.57
hyb4,B73,MO17,65.93511,69.81974,71.6486,-5.713,-0.0797,-3.885,-0.0818,-4.799,-0.0549,DTS,8.18
